ref_index,ref_name,spells_index
sorcerer,Sorcerer,color-spray
wizard,Wizard,color-spray
cleric,Cleric,command
paladin,Paladin,command
cleric,Cleric,commune
druid,Druid,commune-with-nature
ranger,Ranger,commune-with-nature
bard,Bard,comprehend-languages
sorcerer,Sorcerer,comprehend-languages
warlock,Warlock,comprehend-languages
wizard,Wizard,comprehend-languages
bard,Bard,compulsion
sorcerer,Sorcerer,cone-of-cold
wizard,Wizard,cone-of-cold
bard,Bard,confusion
druid,Druid,confusion
sorcerer,Sorcerer,confusion
wizard,Wizard,confusion
druid,Druid,conjure-animals
ranger,Ranger,conjure-animals
cleric,Cleric,conjure-celestial
druid,Druid,conjure-elemental
wizard,Wizard,conjure-elemental
druid,Druid,conjure-fey
warlock,Warlock,conjure-fey
druid,Druid,conjure-minor-elementals
wizard,Wizard,conjure-minor-elementals
druid,Druid,conjure-woodland-beings
ranger,Ranger,conjure-woodland-beings
warlock,Warlock,contact-other-plane
wizard,Wizard,contact-other-plane
cleric,Cleric,contagion
druid,Druid,contagion
wizard,Wizard,contingency
cleric,Cleric,continual-flame
wizard,Wizard,continual-flame
cleric,Cleric,control-water
druid,Druid,control-water
wizard,Wizard,control-water
cleric,Cleric,control-weather
druid,Druid,control-weather
wizard,Wizard,control-weather
sorcerer,Sorcerer,counterspell
warlock,Warlock,counterspell
wizard,Wizard,counterspell
cleric,Cleric,create-food-and-water
druid,Druid,create-food-and-water
paladin,Paladin,create-food-and-water
cleric,Cleric,create-undead
warlock,Warlock,create-undead
wizard,Wizard,create-undead
cleric,Cleric,create-or-destroy-water
druid,Druid,create-or-destroy-water
sorcerer,Sorcerer,creation
wizard,Wizard,creation
bard,Bard,cure-wounds
cleric,Cleric,cure-wounds
druid,Druid,cure-wounds
paladin,Paladin,cure-wounds
ranger,Ranger,cure-wounds
bard,Bard,dancing-lights
sorcerer,Sorcerer,dancing-lights
wizard,Wizard,dancing-lights
sorcerer,Sorcerer,darkness
warlock,Warlock,darkness
wizard,Wizard,darkness
druid,Druid,darkvision
ranger,Ranger,darkvision
sorcerer,Sorcerer,darkvision
wizard,Wizard,darkvision
cleric,Cleric,daylight
druid,Druid,daylight
paladin,Paladin,daylight
ranger,Ranger,daylight
sorcerer,Sorcerer,daylight
cleric,Cleric,death-ward
paladin,Paladin,death-ward
sorcerer,Sorcerer,delayed-blast-fireball
wizard,Wizard,delayed-blast-fireball
warlock,Warlock,demiplane
wizard,Wizard,demiplane
cleric,Cleric,detect-evil-and-good
paladin,Paladin,detect-evil-and-good
bard,Bard,detect-magic
cleric,Cleric,detect-magic
druid,Druid,detect-magic
paladin,Paladin,detect-magic
ranger,Ranger,detect-magic
sorcerer,Sorcerer,detect-magic
wizard,Wizard,detect-magic
cleric,Cleric,detect-poison-and-disease
druid,Druid,detect-poison-and-disease
paladin,Paladin,detect-poison-and-disease
ranger,Ranger,detect-poison-and-disease
bard,Bard,detect-thoughts
sorcerer,Sorcerer,detect-thoughts
wizard,Wizard,detect-thoughts
bard,Bard,dimension-door
sorcerer,Sorcerer,dimension-door
warlock,Warlock,dimension-door
wizard,Wizard,dimension-door
bard,Bard,disguise-self
sorcerer,Sorcerer,disguise-self
wizard,Wizard,disguise-self
sorcerer,Sorcerer,disintegrate
wizard,Wizard,disintegrate
cleric,Cleric,dispel-evil-and-good
paladin,Paladin,dispel-evil-and-good
bard,Bard,dispel-magic
cleric,Cleric,dispel-magic
druid,Druid,dispel-magic
paladin,Paladin,dispel-magic
sorcerer,Sorcerer,dispel-magic
warlock,Warlock,dispel-magic
wizard,Wizard,dispel-magic
druid,Druid,divination
paladin,Paladin,divine-favor
cleric,Cleric,divine-word
druid,Druid,dominate-beast
sorcerer,Sorcerer,dominate-beast
bard,Bard,dominate-monster
sorcerer,Sorcerer,dominate-monster
warlock,Warlock,dominate-monster
wizard,Wizard,dominate-monster
bard,Bard,dominate-person
sorcerer,Sorcerer,dominate-person
wizard,Wizard,dominate-person
bard,Bard,dream
warlock,Warlock,dream
wizard,Wizard,dream
druid,Druid,druidcraft
cleric,Cleric,earthquake
druid,Druid,earthquake
sorcerer,Sorcerer,earthquake
warlock,Warlock,eldritch-blast
bard,Bard,enhance-ability
cleric,Cleric,enhance-ability
druid,Druid,enhance-ability
sorcerer,Sorcerer,enhance-ability
sorcerer,Sorcerer,enlarge-reduce
wizard,Wizard,enlarge-reduce
druid,Druid,entangle
bard,Bard,enthrall
warlock,Warlock,enthrall
bard,Bard,etherealness
cleric,Cleric,etherealness
sorcerer,Sorcerer,etherealness
warlock,Warlock,etherealness
wizard,Wizard,etherealness
sorcerer,Sorcerer,expeditious-retreat
warlock,Warlock,expeditious-retreat
wizard,Wizard,expeditious-retreat
bard,Bard,eyebite
sorcerer,Sorcerer,eyebite
warlock,Warlock,eyebite
wizard,Wizard,eyebite
wizard,Wizard,fabricate
druid,Druid,faerie-fire
wizard,Wizard,faithful-hound
sorcerer,Sorcerer,false-life
wizard,Wizard,false-life
bard,Bard,fear
sorcerer,Sorcerer,fear
warlock,Warlock,fear
wizard,Wizard,fear
bard,Bard,feather-fall
sorcerer,Sorcerer,feather-fall
wizard,Wizard,feather-fall
bard,Bard,feeblemind
druid,Druid,feeblemind
warlock,Warlock,feeblemind
wizard,Wizard,feeblemind
wizard,Wizard,find-familiar
paladin,Paladin,find-steed
cleric,Cleric,find-traps
druid,Druid,find-traps
ranger,Ranger,find-traps
bard,Bard,find-the-path
cleric,Cleric,find-the-path
druid,Druid,find-the-path
sorcerer,Sorcerer,finger-of-death
warlock,Warlock,finger-of-death
wizard,Wizard,finger-of-death
sorcerer,Sorcerer,fire-bolt
wizard,Wizard,fire-bolt
wizard,Wizard,fire-shield
cleric,Cleric,fire-storm
druid,Druid,fire-storm
sorcerer,Sorcerer,fire-storm
sorcerer,Sorcerer,fireball
wizard,Wizard,fireball
druid,Druid,flame-blade
cleric,Cleric,flame-strike
druid,Druid,flaming-sphere
wizard,Wizard,flaming-sphere
warlock,Warlock,flesh-to-stone
wizard,Wizard,flesh-to-stone
wizard,Wizard,floating-disk
sorcerer,Sorcerer,fly
warlock,Warlock,fly
wizard,Wizard,fly
druid,Druid,fog-cloud
ranger,Ranger,fog-cloud
sorcerer,Sorcerer,fog-cloud
wizard,Wizard,fog-cloud
cleric,Cleric,forbiddance
bard,Bard,forcecage
warlock,Warlock,forcecage
wizard,Wizard,forcecage
bard,Bard,foresight
druid,Druid,foresight
warlock,Warlock,foresight
wizard,Wizard,foresight
bard,Bard,freedom-of-movement
cleric,Cleric,freedom-of-movement
druid,Druid,freedom-of-movement
ranger,Ranger,freedom-of-movement
wizard,Wizard,freezing-sphere
sorcerer,Sorcerer,gaseous-form
warlock,Warlock,gaseous-form
wizard,Wizard,gaseous-form
cleric,Cleric,gate
sorcerer,Sorcerer,gate
wizard,Wizard,gate
bard,Bard,geas
cleric,Cleric,geas
druid,Druid,geas
paladin,Paladin,geas
wizard,Wizard,geas
cleric,Cleric,gentle-repose
wizard,Wizard,gentle-repose
druid,Druid,giant-insect
bard,Bard,glibness
warlock,Warlock,glibness
sorcerer,Sorcerer,globe-of-invulnerability
wizard,Wizard,globe-of-invulnerability
bard,Bard,glyph-of-warding
cleric,Cleric,glyph-of-warding
wizard,Wizard,glyph-of-warding
druid,Druid,goodberry
ranger,Ranger,goodberry
wizard,Wizard,grease
bard,Bard,greater-invisibility
sorcerer,Sorcerer,greater-invisibility
wizard,Wizard,greater-invisibility
bard,Bard,greater-restoration
cleric,Cleric,greater-restoration
druid,Druid,greater-restoration
cleric,Cleric,guardian-of-faith
bard,Bard,guards-and-wards
wizard,Wizard,guards-and-wards
cleric,Cleric,guidance
druid,Druid,guidance
cleric,Cleric,guiding-bolt
druid,Druid,gust-of-wind
sorcerer,Sorcerer,gust-of-wind
wizard,Wizard,gust-of-wind
cleric,Cleric,hallow
bard,Bard,hallucinatory-terrain
druid,Druid,hallucinatory-terrain
warlock,Warlock,hallucinatory-terrain
wizard,Wizard,hallucinatory-terrain
cleric,Cleric,harm
sorcerer,Sorcerer,haste
wizard,Wizard,haste
cleric,Cleric,heal
druid,Druid,heal
bard,Bard,healing-word
cleric,Cleric,healing-word
druid,Druid,healing-word
bard,Bard,heat-metal
druid,Druid,heat-metal
warlock,Warlock,hellish-rebuke
cleric,Cleric,heroes-feast
druid,Druid,heroes-feast
bard,Bard,heroism
paladin,Paladin,heroism
bard,Bard,hideous-laughter
wizard,Wizard,hideous-laughter
bard,Bard,hold-monster
sorcerer,Sorcerer,hold-monster
warlock,Warlock,hold-monster
wizard,Wizard,hold-monster
bard,Bard,hold-person
cleric,Cleric,hold-person
druid,Druid,hold-person
sorcerer,Sorcerer,hold-person
warlock,Warlock,hold-person
wizard,Wizard,hold-person
cleric,Cleric,holy-aura
ranger,Ranger,hunters-mark
bard,Bard,hypnotic-pattern
sorcerer,Sorcerer,hypnotic-pattern
warlock,Warlock,hypnotic-pattern
wizard,Wizard,hypnotic-pattern
druid,Druid,ice-storm
sorcerer,Sorcerer,ice-storm
wizard,Wizard,ice-storm
bard,Bard,identify
wizard,Wizard,identify
bard,Bard,illusory-script
warlock,Warlock,illusory-script
wizard,Wizard,illusory-script
warlock,Warlock,imprisonment
wizard,Wizard,imprisonment
sorcerer,Sorcerer,incendiary-cloud
wizard,Wizard,incendiary-cloud
cleric,Cleric,inflict-wounds
cleric,Cleric,insect-plague
druid,Druid,insect-plague
sorcerer,Sorcerer,insect-plague
wizard,Wizard,instant-summons
bard,Bard,invisibility
sorcerer,Sorcerer,invisibility
warlock,Warlock,invisibility
wizard,Wizard,invisibility
bard,Bard,irresistible-dance
wizard,Wizard,irresistible-dance
druid,Druid,jump
ranger,Ranger,jump
sorcerer,Sorcerer,jump
wizard,Wizard,jump
bard,Bard,knock
sorcerer,Sorcerer,knock
wizard,Wizard,knock
bard,Bard,legend-lore
cleric,Cleric,legend-lore
wizard,Wizard,legend-lore
bard,Bard,lesser-restoration
cleric,Cleric,lesser-restoration
druid,Druid,lesser-restoration
paladin,Paladin,lesser-restoration
ranger,Ranger,lesser-restoration
sorcerer,Sorcerer,levitate
wizard,Wizard,levitate
bard,Bard,light
cleric,Cleric,light
sorcerer,Sorcerer,light
wizard,Wizard,light
sorcerer,Sorcerer,lightning-bolt
wizard,Wizard,lightning-bolt
bard,Bard,locate-animals-or-plants
druid,Druid,locate-animals-or-plants
ranger,Ranger,locate-animals-or-plants
bard,Bard,locate-creature
cleric,Cleric,locate-creature
druid,Druid,locate-creature
paladin,Paladin,locate-creature
ranger,Ranger,locate-creature
wizard,Wizard,locate-creature
bard,Bard,locate-object
cleric,Cleric,locate-object
druid,Druid,locate-object
paladin,Paladin,locate-object
ranger,Ranger,locate-object
wizard,Wizard,locate-object
bard,Bard,longstrider
druid,Druid,longstrider
ranger,Ranger,longstrider
wizard,Wizard,longstrider
sorcerer,Sorcerer,mage-armor
wizard,Wizard,mage-armor
bard,Bard,mage-hand
sorcerer,Sorcerer,mage-hand
warlock,Warlock,mage-hand
wizard,Wizard,mage-hand
cleric,Cleric,magic-circle
paladin,Paladin,magic-circle
warlock,Warlock,magic-circle
wizard,Wizard,magic-circle
wizard,Wizard,magic-jar
sorcerer,Sorcerer,magic-missile
wizard,Wizard,magic-missile
bard,Bard,magic-mouth
wizard,Wizard,magic-mouth
paladin,Paladin,magic-weapon
wizard,Wizard,magic-weapon
bard,Bard,magnificent-mansion
wizard,Wizard,magnificent-mansion
bard,Bard,major-image
sorcerer,Sorcerer,major-image
warlock,Warlock,major-image
wizard,Wizard,major-image
bard,Bard,mass-cure-wounds
cleric,Cleric,mass-cure-wounds
druid,Druid,mass-cure-wounds
cleric,Cleric,mass-heal
cleric,Cleric,mass-healing-word
bard,Bard,mass-suggestion
sorcerer,Sorcerer,mass-suggestion
warlock,Warlock,mass-suggestion
wizard,Wizard,mass-suggestion
wizard,Wizard,maze
cleric,Cleric,meld-into-stone
cleric,Cleric,mending
bard,Bard,mending
druid,Druid,mending
sorcerer,Sorcerer,mending
wizard,Wizard,mending
bard,Bard,message
sorcerer,Sorcerer,message
wizard,Wizard,message
sorcerer,Sorcerer,meteor-swarm
wizard,Wizard,meteor-swarm
bard,Bard,mind-blank
wizard,Wizard,mind-blank
bard,Bard,minor-illusion
sorcerer,Sorcerer,minor-illusion
warlock,Warlock,minor-illusion
wizard,Wizard,minor-illusion
bard,Bard,mirage-arcane
druid,Druid,mirage-arcane
wizard,Wizard,mirage-arcane
sorcerer,Sorcerer,mirror-image
warlock,Warlock,mirror-image
wizard,Wizard,mirror-image
bard,Bard,mislead
wizard,Wizard,mislead
sorcerer,Sorcerer,misty-step
warlock,Warlock,misty-step
wizard,Wizard,misty-step
bard,Bard,modify-memory
wizard,Wizard,modify-memory
druid,Druid,moonbeam
druid,Druid,move-earth
sorcerer,Sorcerer,move-earth
wizard,Wizard,move-earth
bard,Bard,nondetection
ranger,Ranger,nondetection
wizard,Wizard,nondetection
druid,Druid,pass-without-trace
ranger,Ranger,pass-without-trace
wizard,Wizard,passwall
wizard,Wizard,phantasmal-killer
wizard,Wizard,phantom-steed
cleric,Cleric,planar-ally
bard,Bard,planar-binding
cleric,Cleric,planar-binding
druid,Druid,planar-binding
wizard,Wizard,planar-binding
cleric,Cleric,plane-shift
druid,Druid,plane-shift
sorcerer,Sorcerer,plane-shift
warlock,Warlock,plane-shift
wizard,Wizard,plane-shift
bard,Bard,plant-growth
druid,Druid,plant-growth
ranger,Ranger,plant-growth
sorcerer,Sorcerer,poison-spray
warlock,Warlock,poison-spray
wizard,Wizard,poison-spray
druid,Druid,poison-spray
bard,Bard,polymorph
druid,Druid,polymorph
sorcerer,Sorcerer,polymorph
wizard,Wizard,polymorph
bard,Bard,power-word-kill
sorcerer,Sorcerer,power-word-kill
warlock,Warlock,power-word-kill
wizard,Wizard,power-word-kill
bard,Bard,power-word-stun
sorcerer,Sorcerer,power-word-stun
warlock,Warlock,power-word-stun
wizard,Wizard,power-word-stun
cleric,Cleric,prayer-of-healing
bard,Bard,prestidigitation
sorcerer,Sorcerer,prestidigitation
warlock,Warlock,prestidigitation
wizard,Wizard,prestidigitation
sorcerer,Sorcerer,prismatic-spray
wizard,Wizard,prismatic-spray
wizard,Wizard,prismatic-wall
wizard,Wizard,private-sanctum
druid,Druid,produce-flame
bard,Bard,programmed-illusion
wizard,Wizard,programmed-illusion
bard,Bard,project-image
wizard,Wizard,project-image
cleric,Cleric,protection-from-energy
druid,Druid,protection-from-energy
ranger,Ranger,protection-from-energy
sorcerer,Sorcerer,protection-from-energy
wizard,Wizard,protection-from-energy
cleric,Cleric,protection-from-evil-and-good
paladin,Paladin,protection-from-evil-and-good
warlock,Warlock,protection-from-evil-and-good
wizard,Wizard,protection-from-evil-and-good
cleric,Cleric,protection-from-poison
druid,Druid,protection-from-poison
paladin,Paladin,protection-from-poison
ranger,Ranger,protection-from-poison
cleric,Cleric,purify-food-and-drink
druid,Druid,purify-food-and-drink
paladin,Paladin,purify-food-and-drink
bard,Bard,raise-dead
cleric,Cleric,raise-dead
paladin,Paladin,raise-dead
warlock,Warlock,ray-of-enfeeblement
wizard,Wizard,ray-of-enfeeblement
sorcerer,Sorcerer,ray-of-frost
wizard,Wizard,ray-of-frost
bard,Bard,regenerate
cleric,Cleric,regenerate
druid,Druid,regenerate
druid,Druid,reincarnate
cleric,Cleric,remove-curse
paladin,Paladin,remove-curse
warlock,Warlock,remove-curse
wizard,Wizard,remove-curse
wizard,Wizard,resilient-sphere
cleric,Cleric,resistance
druid,Druid,resistance
bard,Bard,resurrection
cleric,Cleric,resurrection
druid,Druid,reverse-gravity
sorcerer,Sorcerer,reverse-gravity
wizard,Wizard,reverse-gravity
cleric,Cleric,revivify
paladin,Paladin,revivify
wizard,Wizard,rope-trick
cleric,Cleric,sacred-flame
cleric,Cleric,sanctuary
sorcerer,Sorcerer,scorching-ray
wizard,Wizard,scorching-ray
bard,Bard,scrying
cleric,Cleric,scrying
druid,Druid,scrying
warlock,Warlock,scrying
wizard,Wizard,scrying
wizard,Wizard,secret-chest
bard,Bard,see-invisibility
sorcerer,Sorcerer,see-invisibility
wizard,Wizard,see-invisibility
bard,Bard,seeming
sorcerer,Sorcerer,seeming
wizard,Wizard,seeming
bard,Bard,sending
cleric,Cleric,sending
wizard,Wizard,sending
wizard,Wizard,sequester
druid,Druid,shapechange
wizard,Wizard,shapechange
bard,Bard,shatter
sorcerer,Sorcerer,shatter
warlock,Warlock,shatter
wizard,Wizard,shatter
sorcerer,Sorcerer,shield
wizard,Wizard,shield
cleric,Cleric,shield-of-faith
paladin,Paladin,shield-of-faith
druid,Druid,shillelagh
sorcerer,Sorcerer,shocking-grasp
wizard,Wizard,shocking-grasp
bard,Bard,silence
cleric,Cleric,silence
ranger,Ranger,silence
bard,Bard,silent-image
sorcerer,Sorcerer,silent-image
wizard,Wizard,silent-image
wizard,Wizard,simulacrum
bard,Bard,sleep
sorcerer,Sorcerer,sleep
wizard,Wizard,sleep
druid,Druid,sleet-storm
sorcerer,Sorcerer,sleet-storm
wizard,Wizard,sleet-storm
sorcerer,Sorcerer,slow
wizard,Wizard,slow
cleric,Cleric,spare-the-dying
bard,Bard,speak-with-animals
druid,Druid,speak-with-animals
ranger,Ranger,speak-with-animals
bard,Bard,speak-with-dead
cleric,Cleric,speak-with-dead
bard,Bard,speak-with-plants
druid,Druid,speak-with-plants
ranger,Ranger,speak-with-plants
sorcerer,Sorcerer,spider-climb
warlock,Warlock,spider-climb
wizard,Wizard,spider-climb
druid,Druid,spike-growth
ranger,Ranger,spike-growth
cleric,Cleric,spirit-guardians
cleric,Cleric,spiritual-weapon
bard,Bard,stinking-cloud
sorcerer,Sorcerer,stinking-cloud
wizard,Wizard,stinking-cloud
cleric,Cleric,stone-shape
druid,Druid,stone-shape
wizard,Wizard,stone-shape
druid,Druid,stoneskin
ranger,Ranger,stoneskin
sorcerer,Sorcerer,stoneskin
wizard,Wizard,stoneskin
druid,Druid,storm-of-vengeance
bard,Bard,suggestion
sorcerer,Sorcerer,suggestion
warlock,Warlock,suggestion
wizard,Wizard,suggestion
druid,Druid,sunbeam
sorcerer,Sorcerer,sunbeam
wizard,Wizard,sunbeam
druid,Druid,sunburst
sorcerer,Sorcerer,sunburst
wizard,Wizard,sunburst
bard,Bard,symbol
cleric,Cleric,symbol
wizard,Wizard,symbol
sorcerer,Sorcerer,telekinesis
wizard,Wizard,telekinesis
wizard,Wizard,telepathic-bond
bard,Bard,teleport
sorcerer,Sorcerer,teleport
wizard,Wizard,teleport
bard,Bard,teleportation-circle
sorcerer,Sorcerer,teleportation-circle
wizard,Wizard,teleportation-circle
cleric,Cleric,thaumaturgy
bard,Bard,thunderwave
druid,Druid,thunderwave
sorcerer,Sorcerer,thunderwave
wizard,Wizard,thunderwave
sorcerer,Sorcerer,time-stop
wizard,Wizard,time-stop
bard,Bard,tiny-hut
wizard,Wizard,tiny-hut
bard,Bard,tongues
cleric,Cleric,tongues
sorcerer,Sorcerer,tongues
warlock,Warlock,tongues
wizard,Wizard,tongues
druid,Druid,transport-via-plants
druid,Druid,tree-stride
ranger,Ranger,tree-stride
bard,Bard,true-polymorph
warlock,Warlock,true-polymorph
wizard,Wizard,true-polymorph
cleric,Cleric,true-resurrection
druid,Druid,true-resurrection
bard,Bard,true-seeing
cleric,Cleric,true-seeing
sorcerer,Sorcerer,true-seeing
warlock,Warlock,true-seeing
wizard,Wizard,true-seeing
bard,Bard,true-strike
sorcerer,Sorcerer,true-strike
warlock,Warlock,true-strike
wizard,Wizard,true-strike
bard,Bard,unseen-servant
warlock,Warlock,unseen-servant
wizard,Wizard,unseen-servant
warlock,Warlock,vampiric-touch
wizard,Wizard,vampiric-touch
bard,Bard,vicious-mockery
druid,Druid,wall-of-fire
sorcerer,Sorcerer,wall-of-fire
wizard,Wizard,wall-of-fire
wizard,Wizard,wall-of-force
wizard,Wizard,wall-of-ice
druid,Druid,wall-of-stone
sorcerer,Sorcerer,wall-of-stone
wizard,Wizard,wall-of-stone
druid,Druid,wall-of-thorns
cleric,Cleric,warding-bond
druid,Druid,water-breathing
ranger,Ranger,water-breathing
sorcerer,Sorcerer,water-breathing
wizard,Wizard,water-breathing
cleric,Cleric,water-walk
druid,Druid,water-walk
ranger,Ranger,water-walk
sorcerer,Sorcerer,water-walk
sorcerer,Sorcerer,web
wizard,Wizard,web
wizard,Wizard,weird
druid,Druid,wind-walk
druid,Druid,wind-wall
ranger,Ranger,wind-wall
sorcerer,Sorcerer,wish
wizard,Wizard,wish
cleric,Cleric,word-of-recall
bard,Bard,zone-of-truth
cleric,Cleric,zone-of-truth
paladin,Paladin,zone-of-truth
