ability_score_bonuses,class,class_specific,features,index,level,prof_bonus,spellcasting,subclass,subclass_specific,url
5,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:3 rage_count:6 rage_damage_bonus:4]},[0x14000270080],barbarian-19,19,6,,,,/api/classes/barbarian/levels/19
5,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:3 rage_count:9999 rage_damage_bonus:4]},[0x14000270180],barbarian-20,20,6,,,,/api/classes/barbarian/levels/20
0,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:6 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:0]},[0x140002702a0 0x140002702e0],bard-1,1,2,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:2 spell_slots_level_1:2 spell_slots_level_2:0 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:4]},,,/api/classes/bard/levels/1
0,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:6 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[0x14000270460 0x140002704c0],bard-2,2,2,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:2 spell_slots_level_1:3 spell_slots_level_2:0 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:5]},,,/api/classes/bard/levels/2
0,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:6 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[0x14000270620 0x14000270680],bard-3,3,2,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:2 spell_slots_level_1:4 spell_slots_level_2:2 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:6]},,,/api/classes/bard/levels/3
1,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:6 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[0x140002707e0],bard-4,4,2,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:7]},,,/api/classes/bard/levels/4
1,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:8 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[0x14000270960 0x140002709a0],bard-5,5,3,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:2 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:8]},,,/api/classes/bard/levels/5
1,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:8 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[0x14000270b40],bard-6,6,3,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:9]},,,/api/classes/bard/levels/6
1,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:8 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[],bard-7,7,3,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:1 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:10]},,,/api/classes/bard/levels/7
2,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:8 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:6]},[0x14000270de0],bard-8,8,3,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:2 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:11]},,,/api/classes/bard/levels/8
2,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:8 magical_secrets_max_5:0 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:8]},[0x14000270f60],bard-9,9,4,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:1 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:12]},,,/api/classes/bard/levels/9
2,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:10 magical_secrets_max_5:2 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:8]},[0x140002710e0 0x14000271120 0x14000271180],bard-10,10,4,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:14]},,,/api/classes/bard/levels/10
2,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:10 magical_secrets_max_5:2 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:8]},[],bard-11,11,4,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:15]},,,/api/classes/bard/levels/11
3,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:10 magical_secrets_max_5:2 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:8]},[0x14000271420],bard-12,12,4,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:15]},,,/api/classes/bard/levels/12
3,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:10 magical_secrets_max_5:2 magical_secrets_max_7:0 magical_secrets_max_9:0 song_of_rest_die:10]},[0x14000271560],bard-13,13,5,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:1 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:16]},,,/api/classes/bard/levels/13
3,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:10 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:0 song_of_rest_die:10]},[0x140002716a0],bard-14,14,5,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:1 spell_slots_level_8:0 spell_slots_level_9:0 spells_known:18]},,,/api/classes/bard/levels/14
3,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:12 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:0 song_of_rest_die:10]},[0x14000271800],bard-15,15,5,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:1 spell_slots_level_8:1 spell_slots_level_9:0 spells_known:19]},,,/api/classes/bard/levels/15
4,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:12 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:0 song_of_rest_die:10]},[0x14000271940],bard-16,16,5,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:1 spell_slots_level_8:1 spell_slots_level_9:0 spells_known:19]},,,/api/classes/bard/levels/16
4,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:12 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:0 song_of_rest_die:12]},[0x14000271aa0],bard-17,17,6,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:2 spell_slots_level_6:1 spell_slots_level_7:1 spell_slots_level_8:1 spell_slots_level_9:1 spells_known:20]},,,/api/classes/bard/levels/17
4,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:12 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:2 song_of_rest_die:12]},[0x14000271be0],bard-18,18,6,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:3 spell_slots_level_6:1 spell_slots_level_7:1 spell_slots_level_8:1 spell_slots_level_9:1 spells_known:22]},,,/api/classes/bard/levels/18
5,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:12 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:2 song_of_rest_die:12]},[0x14000271d40],bard-19,19,6,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:3 spell_slots_level_6:2 spell_slots_level_7:1 spell_slots_level_8:1 spell_slots_level_9:1 spells_known:22]},,,/api/classes/bard/levels/19
5,&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},&{[bardic_inspiration_die song_of_rest_die magical_secrets_max_5 magical_secrets_max_7 magical_secrets_max_9] map[bardic_inspiration_die:12 magical_secrets_max_5:2 magical_secrets_max_7:2 magical_secrets_max_9:2 song_of_rest_die:12]},[0x14000271ea0],bard-20,20,6,&{[cantrips_known spells_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:3 spell_slots_level_5:3 spell_slots_level_6:2 spell_slots_level_7:2 spell_slots_level_8:1 spell_slots_level_9:1 spells_known:22]},,,/api/classes/bard/levels/20
0,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:0 destroy_undead_cr:0]},[0x140002920a0 0x140002920e0 0x14000292160],cleric-1,1,2,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:2 spell_slots_level_2:0 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/1
0,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:1 destroy_undead_cr:0]},[0x140002922c0 0x14000292300],cleric-2,2,2,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:3 spell_slots_level_2:0 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/2
0,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:1 destroy_undead_cr:0]},[0x14000292460],cleric-3,3,2,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:3 spell_slots_level_1:4 spell_slots_level_2:2 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/3
1,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:1 destroy_undead_cr:0]},[0x140002925c0],cleric-4,4,2,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:0 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/4
1,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:1 destroy_undead_cr:0.5]},[0x14000292720 0x14000292760],cleric-5,5,3,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:2 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/5
1,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:2 destroy_undead_cr:0.5]},[0x140002928c0],cleric-6,6,3,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:0 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/6
1,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:2 destroy_undead_cr:0.5]},[0x14000292a00],cleric-7,7,3,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:1 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/7
2,&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},&{[channel_divinity_charges destroy_undead_cr] map[channel_divinity_charges:2 destroy_undead_cr:1]},[0x14000292b40 0x14000292b80],cleric-8,8,3,&{[cantrips_known spell_slots_level_1 spell_slots_level_2 spell_slots_level_3 spell_slots_level_4 spell_slots_level_5 spell_slots_level_6 spell_slots_level_7 spell_slots_level_8 spell_slots_level_9] map[cantrips_known:4 spell_slots_level_1:4 spell_slots_level_2:3 spell_slots_level_3:3 spell_slots_level_4:2 spell_slots_level_5:0 spell_slots_level_6:0 spell_slots_level_7:0 spell_slots_level_8:0 spell_slots_level_9:0]},,,/api/classes/cleric/levels/8
