armor_category,armor_class,capacity,category_range,contents,cost,damage,desc,equipment_category,gear_category,index,name,properties,quantity,range,special,speed,stealth_disadvantage,str_minimum,throw_range,tool_category,two_handed_damage,url,vehicle_category,weapon_category,weapon_range,weight
,,,Simple Ranged,,&{[quantity unit] map[quantity:5 unit:cp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x1400025d2c0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,dart,Dart,[0x1400025d360 0x1400025d3a0],,&{[normal long] map[long:60 normal:20]},,,,,&{[normal long] map[long:60 normal:20]},,,/api/equipment/dart,,Simple,Ranged,0.250000
,,,Simple Ranged,,&{[quantity unit] map[quantity:25 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400025d520]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,shortbow,Shortbow,[0x1400025d5e0 0x1400025d620],,&{[normal long] map[long:320 normal:80]},,,,,,,,/api/equipment/shortbow,,Simple,Ranged,2
,,,Simple Ranged,,&{[quantity unit] map[quantity:1 unit:sp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x1400025d780]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,sling,Sling,[0x1400025d820],,&{[normal long] map[long:120 normal:30]},,,,,,,,/api/equipment/sling,,Simple,Ranged,0
,,,Martial Melee,,&{[quantity unit] map[quantity:10 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400025d940]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,battleaxe,Battleaxe,[0x1400025d9c0],,&{[normal] map[normal:5]},,,,,,,&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x1400025da40]},/api/equipment/battleaxe,,Martial,Melee,4
,,,Martial Melee,,&{[quantity unit] map[quantity:10 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400025dba0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,flail,Flail,[],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/flail,,Martial,Melee,2
,,,Martial Melee,,&{[quantity unit] map[quantity:20 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x1400025dd20]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,glaive,Glaive,[0x1400025dda0 0x1400025dde0 0x1400025de40],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/glaive,,Martial,Melee,6
,,,Martial Melee,,&{[quantity unit] map[quantity:30 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d12 damage_type:0x1400025df60]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,greataxe,Greataxe,[0x1400027a060 0x1400027a0a0],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/greataxe,,Martial,Melee,7
,,,Martial Melee,,&{[quantity unit] map[quantity:50 unit:gp]},&{[damage_dice damage_type] map[damage_dice:2d6 damage_type:0x1400027a200]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,greatsword,Greatsword,[0x1400027a280 0x1400027a2e0],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/greatsword,,Martial,Melee,6
,,,Martial Melee,,&{[quantity unit] map[quantity:20 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x1400027a420]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,halberd,Halberd,[0x1400027a4c0 0x1400027a520 0x1400027a5a0],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/halberd,,Martial,Melee,6
,,,Martial Melee,,&{[quantity unit] map[quantity:10 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d12 damage_type:0x1400027a6e0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,lance,Lance,[0x1400027a760 0x1400027a7a0],,&{[normal] map[normal:5]},"[You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted.]",,,,,,,/api/equipment/lance,,Martial,Melee,6
,,,Martial Melee,,&{[quantity unit] map[quantity:15 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400027a900]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,longsword,Longsword,[0x1400027a980],,&{[normal] map[normal:5]},,,,,,,&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x1400027a9e0]},/api/equipment/longsword,,Martial,Melee,3
,,,Martial Melee,,&{[quantity unit] map[quantity:10 unit:gp]},&{[damage_dice damage_type] map[damage_dice:2d6 damage_type:0x1400027ab40]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,maul,Maul,[0x1400027abc0 0x1400027ac20],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/maul,,Martial,Melee,10
,,,Martial Melee,,&{[quantity unit] map[quantity:15 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400027ada0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,morningstar,Morningstar,[],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/morningstar,,Martial,Melee,4
,,,Martial Melee,,&{[quantity unit] map[quantity:5 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x1400027af20]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,pike,Pike,[0x1400027afa0 0x1400027b000 0x1400027b080],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/pike,,Martial,Melee,18
,,,Martial Melee,,&{[quantity unit] map[quantity:25 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400027b1c0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,rapier,Rapier,[0x1400027b260],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/rapier,,Martial,Melee,2
,,,Martial Melee,,&{[quantity unit] map[quantity:25 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400027b3c0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,scimitar,Scimitar,[0x1400027b460 0x1400027b4a0],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/scimitar,,Martial,Melee,3
,,,Martial Melee,,&{[quantity unit] map[quantity:10 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400027b600]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,shortsword,Shortsword,[0x1400027b680 0x1400027b6c0 0x1400027b720],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/shortsword,,Martial,Melee,2
,,,Martial Melee,,&{[quantity unit] map[quantity:5 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400027b860]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,trident,Trident,[0x1400027b8e0 0x1400027b920],,&{[normal] map[normal:5]},,,,,&{[normal long] map[long:60 normal:20]},,&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400027b9e0]},/api/equipment/trident,,Martial,Melee,4
,,,Martial Melee,,&{[quantity unit] map[quantity:5 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400027bb20]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,war-pick,War pick,[],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/war-pick,,Martial,Melee,2
,,,Martial Melee,,&{[quantity unit] map[quantity:15 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400027bca0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,warhammer,Warhammer,[0x1400027bd20],,&{[normal] map[normal:5]},,,,,,,&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x1400027bda0]},/api/equipment/warhammer,,Martial,Melee,2
,,,Martial Melee,,&{[quantity unit] map[quantity:2 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x1400027bf00]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,whip,Whip,[0x14000294000 0x14000294040],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/whip,,Martial,Melee,3
,,,Martial Ranged,,&{[quantity unit] map[quantity:10 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1 damage_type:0x140002941c0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,blowgun,Blowgun,[0x14000294280 0x140002942c0],,&{[normal long] map[long:100 normal:25]},,,,,,,,/api/equipment/blowgun,,Martial,Ranged,1
,,,Martial Ranged,,&{[quantity unit] map[quantity:75 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x14000294440]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,crossbow-hand,"Crossbow, hand",[0x14000294500 0x14000294540 0x140002945a0],,&{[normal long] map[long:120 normal:30]},,,,,,,,/api/equipment/crossbow-hand,,Martial,Ranged,3
,,,Martial Ranged,,&{[quantity unit] map[quantity:50 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d10 damage_type:0x140002946e0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,crossbow-heavy,"Crossbow, heavy",[0x140002947a0 0x140002947e0 0x14000294840 0x14000294880],,&{[normal long] map[long:400 normal:100]},,,,,,,,/api/equipment/crossbow-heavy,,Martial,Ranged,18
,,,Martial Ranged,,&{[quantity unit] map[quantity:50 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x140002949a0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,longbow,Longbow,[0x14000294a40 0x14000294aa0 0x14000294b00],,&{[normal long] map[long:600 normal:150]},,,,,,,,/api/equipment/longbow,,Martial,Ranged,2
,,,Martial Ranged,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,net,Net,[0x14000294c40 0x14000294c80],,&{[normal long] map[long:15 normal:5]},"[A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net. When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make.]",,,,&{[normal long] map[long:15 normal:5]},,,/api/equipment/net,,Martial,Ranged,3
Light,&{[base dex_bonus] map[base:11 dex_bonus:true]},,,,&{[quantity unit] map[quantity:5 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,padded-armor,Padded Armor,,,,,,true,0,,,,/api/equipment/padded-armor,,,,8
Light,&{[base dex_bonus] map[base:11 dex_bonus:true]},,,,&{[quantity unit] map[quantity:10 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,leather-armor,Leather Armor,,,,,,false,0,,,,/api/equipment/leather-armor,,,,10
Light,&{[base dex_bonus] map[base:12 dex_bonus:true]},,,,&{[quantity unit] map[quantity:45 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,studded-leather-armor,Studded Leather Armor,,,,,,false,0,,,,/api/equipment/studded-leather-armor,,,,13
Medium,&{[base dex_bonus max_bonus] map[base:12 dex_bonus:true max_bonus:2]},,,,&{[quantity unit] map[quantity:10 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,hide-armor,Hide Armor,,,,,,false,0,,,,/api/equipment/hide-armor,,,,12
Medium,&{[base dex_bonus max_bonus] map[base:13 dex_bonus:true max_bonus:2]},,,,&{[quantity unit] map[quantity:50 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,chain-shirt,Chain Shirt,,,,,,false,0,,,,/api/equipment/chain-shirt,,,,20
Medium,&{[base dex_bonus max_bonus] map[base:14 dex_bonus:true max_bonus:2]},,,,&{[quantity unit] map[quantity:50 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,scale-mail,Scale Mail,,,,,,true,0,,,,/api/equipment/scale-mail,,,,45
Medium,&{[base dex_bonus max_bonus] map[base:14 dex_bonus:true max_bonus:2]},,,,&{[quantity unit] map[quantity:400 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,breastplate,Breastplate,,,,,,false,0,,,,/api/equipment/breastplate,,,,20
Medium,&{[base dex_bonus max_bonus] map[base:15 dex_bonus:true max_bonus:2]},,,,&{[quantity unit] map[quantity:750 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,half-plate-armor,Half Plate Armor,,,,,,true,0,,,,/api/equipment/half-plate-armor,,,,40
Heavy,&{[base dex_bonus] map[base:14 dex_bonus:false]},,,,&{[quantity unit] map[quantity:30 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,ring-mail,Ring Mail,,,,,,true,0,,,,/api/equipment/ring-mail,,,,40
Heavy,&{[base dex_bonus] map[base:16 dex_bonus:false]},,,,&{[quantity unit] map[quantity:75 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,chain-mail,Chain Mail,,,,,,true,13,,,,/api/equipment/chain-mail,,,,55
Heavy,&{[base dex_bonus] map[base:17 dex_bonus:false]},,,,&{[quantity unit] map[quantity:200 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,splint-armor,Splint Armor,,,,,,true,15,,,,/api/equipment/splint-armor,,,,60
Heavy,&{[base dex_bonus] map[base:18 dex_bonus:false]},,,,&{[quantity unit] map[quantity:1500 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,plate-armor,Plate Armor,,,,,,true,15,,,,/api/equipment/plate-armor,,,,65
Shield,&{[base dex_bonus] map[base:2 dex_bonus:false]},,,,&{[quantity unit] map[quantity:10 unit:gp]},,,&{[index name url] map[index:armor name:Armor url:/api/equipment-categories/armor]},,shield,Shield,,,,,,false,0,,,,/api/equipment/shield,,,,6
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},abacus,Abacus,,,,,,,,,,,/api/equipment/abacus,,,,2
,,,,,&{[quantity unit] map[quantity:25 unit:gp]},,"[As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},acid-vial,Acid (vial),,,,,,,,,,,/api/equipment/acid-vial,,,,1
,,,,,&{[quantity unit] map[quantity:50 unit:gp]},,"[This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},alchemists-fire-flask,Alchemist's fire (flask),,,,,,,,,,,/api/equipment/alchemists-fire-flask,,,,1
,,,,,&{[quantity unit] map[quantity:0 unit:cp]},,"[A small box for alms, typically found in a priest's pack.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},alms-box,Alms box,,,,,,,,,,,/api/equipment/alms-box,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:ammunition name:Ammunition url:/api/equipment-categories/ammunition]},arrow,Arrow,,20,,,,,,,,,/api/equipment/arrow,,,,1
,,,,,&{[quantity unit] map[quantity:0 unit:cp]},,"[A block of incense, typically found in a priest's pack.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},block-of-incense,Block of incense,,,,,,,,,,,/api/equipment/block-of-incense,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:ammunition name:Ammunition url:/api/equipment-categories/ammunition]},blowgun-needle,Blowgun needle,,50,,,,,,,,,/api/equipment/blowgun-needle,,,,1
,,,,,&{[quantity unit] map[quantity:0 unit:cp]},,"[A censer, typically found in a priest's pack.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},censer,Censer,,,,,,,,,,,/api/equipment/censer,,,,0
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:ammunition name:Ammunition url:/api/equipment-categories/ammunition]},crossbow-bolt,Crossbow bolt,,20,,,,,,,,,/api/equipment/crossbow-bolt,,,,1.500000
,,,,,&{[quantity unit] map[quantity:4 unit:cp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:ammunition name:Ammunition url:/api/equipment-categories/ammunition]},sling-bullet,Sling bullet,,20,,,,,,,,,/api/equipment/sling-bullet,,,,1.500000
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:holy-symbols name:Holy Symbols url:/api/equipment-categories/holy-symbols]},amulet,Amulet,,,,,,,,,,,/api/equipment/amulet,,,,1
,,,,,&{[quantity unit] map[quantity:50 unit:gp]},,[A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.],&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},antitoxin-vial,Antitoxin (vial),,,,,,,,,,,/api/equipment/antitoxin-vial,,,,0
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,"[An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:arcane-foci name:Arcane Foci url:/api/equipment-categories/arcane-foci]},crystal,Crystal,,,,,,,,,,,/api/equipment/crystal,,,,1
,,,,,&{[quantity unit] map[quantity:20 unit:gp]},,"[An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:arcane-foci name:Arcane Foci url:/api/equipment-categories/arcane-foci]},orb,Orb,,,,,,,,,,,/api/equipment/orb,,,,3
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,"[An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:arcane-foci name:Arcane Foci url:/api/equipment-categories/arcane-foci]},rod,Rod,,,,,,,,,,,/api/equipment/rod,,,,2
,,,,,&{[quantity unit] map[quantity:5 unit:gp]},,"[An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:arcane-foci name:Arcane Foci url:/api/equipment-categories/arcane-foci]},staff,Staff,,,,,,,,,,,/api/equipment/staff,,,,4
,,,,,&{[quantity unit] map[quantity:10 unit:gp]},,"[An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:arcane-foci name:Arcane Foci url:/api/equipment-categories/arcane-foci]},wand,Wand,,,,,,,,,,,/api/equipment/wand,,,,1
,,,,,&{[quantity unit] map[quantity:2 unit:gp]},,,&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},backpack,Backpack,,,,,,,,,,,/api/equipment/backpack,,,,5
,,,,,&{[quantity unit] map[quantity:1 unit:gp]},,"[As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the save.]",&{[index name url] map[index:adventuring-gear name:Adventuring Gear url:/api/equipment-categories/adventuring-gear]},&{[index name url] map[index:standard-gear name:Standard Gear url:/api/equipment-categories/standard-gear]},ball-bearings-bag-of-1000,"Ball bearings (bag of 1,000)",,,,,,,,,,,/api/equipment/ball-bearings-bag-of-1000,,,,2
