class,desc,feature_specific,index,level,name,parent,prerequisites,reference,subclass,url
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,barbarian-ability-score-improvement-2,8,Ability Score Improvement,,[],,,/api/features/barbarian-ability-score-improvement-2
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.]",,brutal-critical-1-die,9,Brutal Critical (1 die),,[],,,/api/features/brutal-critical-1-die
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 10th level, you can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can see within 30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom saving throw (DC equal to 8 + your proficiency bonus + your Charisma modifier) or be frightened of you until the end of your next turn. On subsequent turns, you can use your action to extend the duration of this effect on the frightened creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you.  If the creature succeeds on its saving throw, you can't use this feature on that creature again for 24 hours.]",,intimidating-presence,10,Intimidating Presence,,[],,&{[index name url] map[index:berserker name:Berserker url:/api/subclasses/berserker]},/api/features/intimidating-presence
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Starting at 11th level, your rage can keep you fighting despite grievous wounds. If you drop to 0 hit points while you're raging and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, you drop to 1 hit point instead. Each time you use this feature after the first, the DC increases by 5. When you finish a short or long rest, the DC resets to 10.]",,relentless-rage,11,Relentless Rage,,[],,,/api/features/relentless-rage
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,barbarian-ability-score-improvement-3,12,Ability Score Improvement,,[],,,/api/features/barbarian-ability-score-improvement-3
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.]",,brutal-critical-2-dice,13,Brutal Critical (2 dice),,[],,,/api/features/brutal-critical-2-dice
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Starting at 14th level, when you take damage from a creature that is within 5 feet of you, you can use your reaction to make a melee weapon Attack against that creature.]",,retaliation,14,Retaliation,,[],,&{[index name url] map[index:berserker name:Berserker url:/api/subclasses/berserker]},/api/features/retaliation
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 15th level, your rage is so fierce that it ends early only if you fall unconscious or if you choose to end it.]",,persistent-rage,15,Persistent Rage,,[],,,/api/features/persistent-rage
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,barbarian-ability-score-improvement-4,16,Ability Score Improvement,,[],,,/api/features/barbarian-ability-score-improvement-4
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.]",,brutal-critical-3-dice,17,Brutal Critical (3 dice),,[],,,/api/features/brutal-critical-3-dice
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 18th level, if your total for a Strength check is less than your Strength score, you can use that score in place of the total.]",,indomitable-might,18,Indomitable Might,,[],,,/api/features/indomitable-might
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,barbarian-ability-score-improvement-5,19,Ability Score Improvement,,[],,,/api/features/barbarian-ability-score-improvement-5
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4. Your maximum for those scores is now 24.]",,primal-champion,20,Primal Champion,,[],,,/api/features/primal-champion
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music. Your spells are part of your vast repertoire, magic that you can tune to different situations.]",,spellcasting-bard,1,Spellcasting: Bard,,[],/api/classes/bard/spellcasting,,/api/features/spellcasting-bard
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time. You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest.  Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.]",,bardic-inspiration-d6,1,Bardic Inspiration (d6),,[],,,/api/features/bardic-inspiration-d6
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check you make that doesn't already include your proficiency bonus.]",,jack-of-all-trades,2,Jack of All Trades,,[],,,/api/features/jack-of-all-trades
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points.  The extra hit points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level.]",,song-of-rest-d6,2,Song of Rest (d6),,[],,,/api/features/song-of-rest-d6
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[At 3rd level, you delve into the advanced techniques of a bard college of your choice, such as the College of Lore. Your choice grants you features at 3rd level and again at 6th and 14th level.]",,bard-college,3,Bard College,,[],,,/api/features/bard-college
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[When you join the College of Lore at 3rd level, you gain proficiency with three skills of your choice.]",,bonus-proficiencies,3,Bonus Proficiencies,,[],,&{[index name url] map[index:lore name:Lore url:/api/subclasses/lore]},/api/features/bonus-proficiencies
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Also at 3rd level, you learn how to use your wit to distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can see within 60 feet of you makes an attack roll, an ability check, or a damage roll, you can use your reaction to expend one of your uses of Bardic Inspiration, rolling a Bardic Inspiration die and subtracting the number rolled from the creature's roll. You can choose to use this feature after the creature makes its roll, but before the GM determines whether the attack roll or ability check succeeds or fails, or before the creature deals its damage. The creature is immune if it can't hear you or if it's immune to being charmed.]",,cutting-words,3,Cutting Words,,[],,&{[index name url] map[index:lore name:Lore url:/api/subclasses/lore]},/api/features/cutting-words
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. At 10th level, you can choose another two skill proficiencies to gain this benefit.]",&{[expertise_options] map[expertise_options:0x1400025b140]},bard-expertise-1,3,Expertise,,[],,,/api/features/bard-expertise-1
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,bard-ability-score-improvement-1,4,Ability Score Improvement,,[],,,/api/features/bard-ability-score-improvement-1
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time. You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest.  Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.]",,bardic-inspiration-d8,5,Bardic Inspiration (d8),,[],,,/api/features/bardic-inspiration-d8
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Beginning when you reach 5th level, you regain all of your expended uses of Bardic Inspiration when you finish a short or long rest.]",,font-of-inspiration,5,Font of Inspiration,,[],,,/api/features/font-of-inspiration
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[At 6th level, you gain the ability to use musical notes or words of power to disrupt mind-influencing effects. As an action, you can start a performance that lasts until the end of your next turn. During that time, you and any friendly creatures within 30 feet of you have advantage on saving throws against being frightened or charmed. A creature must be able to hear you to gain this benefit. The performance ends early if you are incapacitated or silenced or if you voluntarily end it (no action required).]",,countercharm,6,Countercharm,,[],,,/api/features/countercharm
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[At 6th level, you learn two spells of your choice from any class. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip. The chosen spells count as bard spells for you but don't count against the number of bard spells you know.]",,additional-magical-secrets,6,Additional Magical Secrets,,[],,&{[index name url] map[index:lore name:Lore url:/api/subclasses/lore]},/api/features/additional-magical-secrets
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,bard-ability-score-improvement-2,8,Ability Score Improvement,,[],,,/api/features/bard-ability-score-improvement-2
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points.  The extra hit points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level.]",,song-of-rest-d8,9,Song of Rest (d8),,[],,,/api/features/song-of-rest-d8
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time. You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest.  Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.]",,bardic-inspiration-d10,10,Bardic Inspiration (d10),,[],,,/api/features/bardic-inspiration-d10
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. At 10th level, you can choose another two skill proficiencies to gain this benefit.]",&{[expertise_options] map[expertise_options:0x14000272520]},bard-expertise-2,10,Expertise,,[],,,/api/features/bard-expertise-2
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any class, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip.  The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.  You learn two additional spells from any class at 14th level and again at 18th level.]",,magical-secrets-1,10,Magical Secrets,,[],,,/api/features/magical-secrets-1
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,bard-ability-score-improvement-3,12,Ability Score Improvement,,[],,,/api/features/bard-ability-score-improvement-3
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points.  The extra hit points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level.]",,song-of-rest-d10,13,Song of Rest (d10),,[],,,/api/features/song-of-rest-d10
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any class, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip.  The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.  You learn two additional spells from any class at 14th level and again at 18th level.]",,magical-secrets-2,14,Magical Secrets,,[],,,/api/features/magical-secrets-2
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Starting at 14th level, when you make an ability check, you can expend one use of Bardic Inspiration. Roll a Bardic Inspiration die and add the number rolled to your ability check. You can choose to do so after you roll the die for the ability check, but before the GM tells you whether you succeed or fail.]",,peerless-skill,14,Peerless Skill,,[],,&{[index name url] map[index:lore name:Lore url:/api/subclasses/lore]},/api/features/peerless-skill
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d6. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the GM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time. You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest.  Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a d8 at 5th level, a d10 at 10th level, and a d12 at 15th level.]",,bardic-inspiration-d12,15,Bardic Inspiration (d12),,[],,,/api/features/bardic-inspiration-d12
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,bard-ability-score-improvement-4,16,Ability Score Improvement,,[],,,/api/features/bard-ability-score-improvement-4
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest by spending one or more Hit Dice, each of those creatures regains an extra 1d6 hit points.  The extra hit points increase when you reach certain levels in this class: to 1d8 at 9th level, to 1d10 at 13th level, and to 1d12 at 17th level.]",,song-of-rest-d12,17,Song of Rest (d12),,[],,,/api/features/song-of-rest-d12
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any class, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip.  The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.  You learn two additional spells from any class at 14th level and again at 18th level.]",,magical-secrets-3,18,Magical Secrets,,[],,,/api/features/magical-secrets-3
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,bard-ability-score-improvement-5,19,Ability Score Improvement,,[],,,/api/features/bard-ability-score-improvement-5
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[At 20th level, when you roll initiative and have no uses of Bardic Inspiration left, you regain one use.]",,superior-inspiration,20,Superior Inspiration,,[],,,/api/features/superior-inspiration
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[As a conduit for divine power, you can cast cleric spells.]",,spellcasting-cleric,1,Spellcasting: Cleric,,[],/api/classes/cleric/spellcasting,,/api/features/spellcasting-cleric
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Choose one domain related to your deity, such as Knowledge, Life, Light, Nature, Tempest, Trickery, or War. Only the Life domain is detailed in the Open Game Licensed SRD. Additional Domains are described in the official rulebooks or products from other publishers. Your domain grants you domain spells and other features when you choose it at 1st level. It also grants you additional ways to use Channel Divinity when you gain that feature at 2nd level, and additional benefits at 6th, 8th, and 17th levels.]",,divine-domain,1,Divine Domain,,[],,,/api/features/divine-domain
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Each domain has a list of spells--its domain spells--that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.]",,domain-spells-1,1,Domain Spells,,[],,,/api/features/domain-spells-1
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[When you choose this domain at 1st level, you gain proficiency with heavy armor.]",,bonus-proficiency,1,Bonus Proficiency,,[],,&{[index name url] map[index:life name:Life url:/api/subclasses/life]},/api/features/bonus-proficiency
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Also starting at 1st level, your healing spells are more effective. Whenever you use a spell of 1st level or higher to restore hit points to a creature, the creature regains additional hit points equal to 2 + the spell's level.]",,disciple-of-life,1,Disciple of Life,,[],,&{[index name url] map[index:life name:Life url:/api/subclasses/life]},/api/features/disciple-of-life
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[At 2nd level, you gain the ability to channel divine energy directly from your deity, using that energy to fuel magical effects. You start with two such effects: Turn Undead and an effect determined by your domain. Some domains grant you additional effects as you advance in levels, as noted in the domain description. When you use your Channel Divinity, you choose which effect to create. You must then finish a short or long rest to use your Channel Divinity again. Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your cleric spell save DC. Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses.]",,channel-divinity-1-rest,2,Channel Divinity (1/rest),,[],,,/api/features/channel-divinity-1-rest
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[As an action, you present your holy symbol and speak a prayer censuring the undead. Each undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes any damage. A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action.]",,channel-divinity-turn-undead,2,Channel Divinity: Turn Undead,,[],,,/api/features/channel-divinity-turn-undead
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Starting at 2nd level, you can use your Channel Divinity to heal the badly injured. As an action, you present your holy symbol and evoke healing energy that can restore a number of hit points equal to five times your cleric level. Choose any creatures within 30 feet of you, and divide those hit points among them. This feature can restore a creature to no more than half of its hit point maximum. You can't use this feature on an undead or a construct.]",,channel-divinity-preserve-life,2,Channel Divinity: Preserve Life,,[],,&{[index name url] map[index:life name:Life url:/api/subclasses/life]},/api/features/channel-divinity-preserve-life
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Each domain has a list of spells--its domain spells--that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.]",,domain-spells-2,3,Domain Spells,,[],,,/api/features/domain-spells-2
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,cleric-ability-score-improvement-1,4,Ability Score Improvement,,[],,,/api/features/cleric-ability-score-improvement-1
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Each domain has a list of spells--its domain spells--that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.]",,domain-spells-3,5,Domain Spells,,[],,,/api/features/domain-spells-3
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Starting at 5th level, when an undead fails its saving throw against your Turn Undead feature, the creature is instantly destroyed if its challenge rating is at or below a certain threshold.]",,destroy-undead-cr-1-2-or-below,5,Destroy Undead (CR 1/2 or below),,[],,,/api/features/destroy-undead-cr-1-2-or-below
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses.]",,channel-divinity-2-rest,6,Channel Divinity (2/rest),,[],,,/api/features/channel-divinity-2-rest
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Beginning at 6th level, the healing spells you cast on others heal you as well. When you cast a spell of 1st level or higher that restores hit points to a creature other than you, you regain hit points equal to 2 + the spell's level.]",,blessed-healer,6,Blessed Healer,,[],,&{[index name url] map[index:life name:Life url:/api/subclasses/life]},/api/features/blessed-healer
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Each domain has a list of spells--its domain spells--that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you.]",,domain-spells-4,7,Domain Spells,,[],,,/api/features/domain-spells-4
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,cleric-ability-score-improvement-2,8,Ability Score Improvement,,[],,,/api/features/cleric-ability-score-improvement-2
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[Starting at 5th level, when an undead fails its saving throw against your Turn Undead feature, the creature is instantly destroyed if its challenge rating is at or below a certain threshold.]",,destroy-undead-cr-1-or-below,8,Destroy Undead (CR 1 or below),,[],,,/api/features/destroy-undead-cr-1-or-below
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[At 8th level, you gain the ability to infuse your weapon strikes with divine energy. Once on each of your turns when you hit a creature with a weapon attack, you can cause the attack to deal an extra 1d8 radiant damage to the target. When you reach 14th level, the extra damage increases to 2d8.]",,divine-strike,8,Divine Strike,,[],,&{[index name url] map[index:life name:Life url:/api/subclasses/life]},/api/features/divine-strike
