actions,alignment,armor_class,challenge_rating,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,damage_vulnerabilities,desc,dexterity,forms,hit_dice,hit_points,hit_points_roll,image,index,intelligence,languages,legendary_actions,name,proficiencies,proficiency_bonus,reactions,senses,size,special_abilities,speed,strength,subtype,type,url,wisdom,xp
[0x1400015c580 0x1400015c6c0 0x1400015c7c0 0x1400015c880 0x1400015c9a0 0x1400015ca60],lawful good,[0x14000513ee0],16,21,[],25,[cold],[],[],,10,,18d12,243,18d12+126,/api/images/monsters/adult-silver-dragon.png,adult-silver-dragon,16,"Common, Draconic",[0x1400015cdc0 0x1400015ce00 0x1400015ce80],Adult Silver Dragon,[0x14000513f60 0x1400015c0a0 0x1400015c140 0x1400015c1c0 0x1400015c260 0x1400015c2e0 0x1400015c360 0x1400015c400],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:21]},Huge,[0x1400015c4c0],&{[walk fly] map[fly:80 ft. walk:40 ft.]},27,,dragon,/api/monsters/adult-silver-dragon,13,15000
[0x1400015d560 0x1400015d6a0 0x1400015d880 0x1400015d940 0x1400015da00 0x1400015dac0],chaotic evil,[0x1400015d000],13,12,[],22,[cold],[],[],,10,,16d12,200,16d12+96,/api/images/monsters/adult-white-dragon.png,adult-white-dragon,8,"Common, Draconic",[0x1400015dc80 0x1400015dcc0 0x1400015dd20],Adult White Dragon,[0x1400015d080 0x1400015d120 0x1400015d1e0 0x1400015d260 0x1400015d300 0x1400015d3a0],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:21]},Huge,[0x1400015d460 0x1400015d4a0],&{[walk burrow fly swim] map[burrow:30 ft. fly:80 ft. swim:40 ft. walk:40 ft.]},22,,dragon,/api/monsters/adult-white-dragon,12,10000
[0x140001de2e0 0x140001de380 0x140001de480],neutral,[0x1400015dec0],5,6,[0x1400015df60 0x140001de020 0x140001de0a0 0x140001de0e0 0x140001de120 0x140001de160 0x140001de1a0 0x140001de200],14,[poison],"[lightning thunder bludgeoning, piercing, and slashing from nonmagical weapons]",[],,20,,12d10,90,12d10+24,/api/images/monsters/air-elemental.png,air-elemental,6,Auran,,Air Elemental,[],3,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:10]},Large,[0x140001de280],&{[fly hover] map[fly:90 ft. hover:true]},14,,elemental,/api/monsters/air-elemental,10,1800
[0x140001deac0 0x140001dec00 0x140001ded80 0x140001dee40 0x140001def00 0x140001defc0],chaotic evil,[0x140001de560],21,19,[],25,[acid],[],[],,14,,21d20,367,21d20+147,/api/images/monsters/ancient-black-dragon.png,ancient-black-dragon,16,"Common, Draconic",[0x140001df140 0x140001df180 0x140001df1e0],Ancient Black Dragon,[0x140001de600 0x140001de6a0 0x140001de740 0x140001de7e0 0x140001de860 0x140001de8e0],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:26]},Gargantuan,[0x140001de9a0 0x140001dea20],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},27,,dragon,/api/monsters/ancient-black-dragon,15,33000
[0x140001df8c0 0x140001dfa00 0x140001dfba0 0x140001dfc80 0x140001dfd60 0x140001dfe20],lawful evil,[0x140001df3e0],23,21,[],27,[lightning],[],[],,10,,26d20,481,26d20+208,/api/images/monsters/ancient-blue-dragon.png,ancient-blue-dragon,18,"Common, Draconic",[0x140001fc060 0x140001fc0a0 0x140001fc100],Ancient Blue Dragon,[0x140001df460 0x140001df520 0x140001df5c0 0x140001df640 0x140001df6e0 0x140001df760],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:27]},Gargantuan,[0x140001df820],&{[walk burrow fly] map[burrow:40 ft. fly:80 ft. walk:40 ft.]},29,,dragon,/api/monsters/ancient-blue-dragon,17,50000
[0x140001fc900 0x140001fca20 0x140001fcb20 0x140001fcc00 0x140001fcd00 0x140001fce00 0x140001fd140],chaotic good,[0x140001fc2c0],20,19,[],25,[fire],[],[],,10,,17d20,297,17d20+119,/api/images/monsters/ancient-brass-dragon.png,ancient-brass-dragon,16,"Common, Draconic",[0x140001fd180 0x140001fd1c0 0x140001fd260],Ancient Brass Dragon,[0x140001fc380 0x140001fc420 0x140001fc4e0 0x140001fc580 0x140001fc600 0x140001fc680 0x140001fc720 0x140001fc7c0],6,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:24]},Gargantuan,[0x140001fc880],&{[walk burrow fly] map[burrow:40 ft. fly:80 ft. walk:40 ft.]},27,,dragon,/api/monsters/ancient-brass-dragon,15,25000
[0x140001fda00 0x140001fdb60 0x140001fdc60 0x140001fdd60 0x140001fde40 0x140001fdf20 0x1400021a360],lawful good,[0x140001fd420],22,21,[],27,[lightning],[],[],,10,,24d20,444,24d20+192,/api/images/monsters/ancient-bronze-dragon.png,ancient-bronze-dragon,18,"Common, Draconic",[0x1400021a3a0 0x1400021a3e0 0x1400021a460],Ancient Bronze Dragon,[0x140001fd4a0 0x140001fd520 0x140001fd5e0 0x140001fd660 0x140001fd6e0 0x140001fd7a0 0x140001fd840],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:27]},Gargantuan,[0x140001fd920 0x140001fd960],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},29,,dragon,/api/monsters/ancient-bronze-dragon,17,41000
[0x1400021ab40 0x1400021ac60 0x1400021ad40 0x1400021ae00 0x1400021aee0 0x1400021afc0 0x1400021b340],chaotic good,[0x1400021a620],21,19,[],25,[acid],[],[],,12,,20d20,350,20d20+140,/api/images/monsters/ancient-copper-dragon.png,ancient-copper-dragon,20,"Common, Draconic",[0x1400021b380 0x1400021b3c0 0x1400021b440],Ancient Copper Dragon,[0x1400021a6a0 0x1400021a720 0x1400021a7c0 0x1400021a860 0x1400021a8e0 0x1400021a960 0x1400021a9e0],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:27]},Gargantuan,[0x1400021aaa0],&{[walk climb fly] map[climb:40 ft. fly:80 ft. walk:40 ft.]},27,,dragon,/api/monsters/ancient-copper-dragon,17,33000
[0x1400021bc40 0x1400021bdc0 0x1400021bee0 0x14000246040 0x14000246120 0x14000246220 0x140002465c0],lawful good,[0x1400021b5c0],24,28,[],29,[fire],[],[],,14,,28d20,546,28d20+252,/api/images/monsters/ancient-gold-dragon.png,ancient-gold-dragon,18,"Common, Draconic",[0x14000246600 0x14000246640 0x140002466a0],Ancient Gold Dragon,[0x1400021b640 0x1400021b6e0 0x1400021b7a0 0x1400021b840 0x1400021b8c0 0x1400021b960 0x1400021b9e0 0x1400021ba60],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:27]},Gargantuan,[0x1400021bb40 0x1400021bb80],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},30,,dragon,/api/monsters/ancient-gold-dragon,17,62000
[0x14000246f40 0x14000247080 0x14000247220 0x140002472e0 0x140002473a0 0x14000247460],lawful evil,[0x14000246840],22,19,[0x14000246de0],25,[poison],[],[],,12,,22d20,385,22d20+154,/api/images/monsters/ancient-green-dragon.png,ancient-green-dragon,20,"Common, Draconic",[0x14000247600 0x14000247640 0x140002476a0],Ancient Green Dragon,[0x140002468c0 0x14000246960 0x14000246a00 0x14000246a80 0x14000246b00 0x14000246bc0 0x14000246c40 0x14000246ce0 0x14000246d60],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:27]},Gargantuan,[0x14000246e60 0x14000246ea0],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},27,,dragon,/api/monsters/ancient-green-dragon,17,41000
[0x14000247da0 0x14000247ee0 0x14000260100 0x140002601e0 0x140002602c0 0x140002603a0],chaotic evil,[0x140002478a0],24,23,[],29,[fire],[],[],,10,,28d20,546,28d20+252,/api/images/monsters/ancient-red-dragon.png,ancient-red-dragon,18,"Common, Draconic",[0x14000260560 0x140002605a0 0x14000260620],Ancient Red Dragon,[0x14000247940 0x140002479e0 0x14000247aa0 0x14000247b40 0x14000247bc0 0x14000247c40],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:26]},Gargantuan,[0x14000247d00],&{[walk climb fly] map[climb:40 ft. fly:80 ft. walk:40 ft.]},30,,dragon,/api/monsters/ancient-red-dragon,15,62000
[0x14000260e60 0x14000260f80 0x14000261080 0x14000261180 0x14000261240 0x14000261320 0x140002616e0],lawful good,[0x140002607e0],23,23,[],29,[cold],[],[],,10,,25d20,487,25d20+225,/api/images/monsters/ancient-silver-dragon.png,ancient-silver-dragon,18,"Common, Draconic",[0x14000261720 0x14000261760 0x140002617e0],Ancient Silver Dragon,[0x14000260880 0x14000260940 0x14000260a00 0x14000260aa0 0x14000260b40 0x14000260bc0 0x14000260c80 0x14000260d00],7,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:26]},Gargantuan,[0x14000260dc0],&{[walk fly] map[fly:80 ft. walk:40 ft.]},30,,dragon,/api/monsters/ancient-silver-dragon,15,50000
[0x14000261f00 0x140002860e0 0x140002862a0 0x14000286380 0x14000286460 0x14000286540],chaotic evil,[0x14000261980],20,14,[],26,[cold],[],[],,10,,18d20,333,18d20+144,/api/images/monsters/ancient-white-dragon.png,ancient-white-dragon,10,"Common, Draconic",[0x140002866e0 0x14000286720 0x14000286780],Ancient White Dragon,[0x14000261a00 0x14000261a80 0x14000261b40 0x14000261be0 0x14000261c80 0x14000261d00],6,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:23]},Gargantuan,[0x14000261de0 0x14000261e40],&{[walk burrow fly swim] map[burrow:40 ft. fly:80 ft. swim:40 ft. walk:40 ft.]},26,,dragon,/api/monsters/ancient-white-dragon,13,25000
[0x14000287520 0x140002875c0 0x140002876a0],lawful neutral,[0x14000286920],17,23,[0x14000286da0 0x14000286de0],20,"[psychic bludgeoning, piercing, and slashing from nonmagical weapons]",[],[],,10,,19d10,199,19d10+95,/api/images/monsters/androsphinx.png,androsphinx,16,"Common, Sphinx",[0x14000287a60 0x14000287aa0 0x14000287b00],Androsphinx,[0x140002869a0 0x14000286a20 0x14000286ac0 0x14000286b40 0x14000286bc0 0x14000286c60 0x14000286d00],6,,&{[truesight passive_perception] map[passive_perception:20 truesight:120 ft.]},Large,[0x14000286e80 0x14000286ee0 0x14000286f40],&{[walk fly] map[fly:60 ft. walk:40 ft.]},22,,monstrosity,/api/monsters/androsphinx,18,18000
[0x14000287f60 0x140002a0080],unaligned,[0x14000287b80],1,1,[0x14000287c20 0x14000287c60 0x14000287ce0 0x14000287d20 0x14000287d60 0x14000287da0 0x14000287de0 0x14000287e40],13,[poison psychic],[],[],,11,,6d8,33,6d8+6,/api/images/monsters/animated-armor.png,animated-armor,1,,,Animated Armor,[],2,,&{[blindsight passive_perception] map[blindsight:60 ft. (blind beyond this radius) passive_perception:6]},Medium,[0x14000287ec0 0x14000287f00],&{[walk] map[walk:25 ft.]},14,,construct,/api/monsters/animated-armor,3,200
[0x140002a0320 0x140002a04a0],unaligned,[0x140002a01c0 0x140002a0200],2,6,[],13,[],[],[],,11,,6d10,39,6d10+6,/api/images/monsters/ankheg.png,ankheg,1,,,Ankheg,[],2,,&{[darkvision tremorsense passive_perception] map[darkvision:60 ft. passive_perception:11 tremorsense:60 ft.]},Large,,&{[walk burrow] map[burrow:10 ft. walk:30 ft.]},17,,monstrosity,/api/monsters/ankheg,13,250
[0x140002a08e0 0x140002a0960 0x140002a0a60],unaligned,[0x140002a06c0],0.500000,7,[],14,[],[],[],,14,,3d8,19,3d8+6,/api/images/monsters/ape.png,ape,6,,,Ape,[0x140002a0760 0x140002a07e0],2,,&{[passive_perception] map[passive_perception:13]},Medium,,&{[walk climb] map[climb:30 ft. walk:30 ft.]},16,,beast,/api/monsters/ape,12,100
[0x140002a18a0],any alignment,[0x140002a0b60 0x140002a0bc0],12,16,[],12,[],"[damage from spells bludgeoning, piercing, and slashing from nonmagical attacks (from stoneskin)]",[],"Archmages are powerful (and usually quite old) spellcasters dedicated to the study of the arcane arts. Benevolent ones counsel kings and queens, while evil ones rule as tyrants and pursue lichdom. Those who are neither good nor evil sequester themselves in remote towers to practice their magic without interruption. 

An archmage typically has one or more apprentice mages, and an archmage’s abode has numerous magical wards and guardians to discourage interlopers.",14,,18d8,99,18d8+18,/api/images/monsters/archmage.png,archmage,20,any six languages,,Archmage,[0x140002a0ca0 0x140002a0d40 0x140002a0de0 0x140002a0e60],4,,&{[passive_perception] map[passive_perception:12]},Medium,[0x140002a0f40 0x140002a0fc0],&{[walk] map[walk:30 ft.]},10,any race,humanoid,/api/monsters/archmage,15,8400
[0x140002a1ee0 0x140002a1f60 0x140002be200],any non-good alignment,[0x140002a19a0],8,10,[],14,[],[poison],[],"Trained in the use of poison, assassins are remorseless killers who work for nobles, guildmasters, sovereigns, and anyone else who can afford them.",16,,12d8,78,12d8+24,/api/images/monsters/assassin.png,assassin,13,Thieves' cant plus any two languages,,Assassin,[0x140002a1aa0 0x140002a1b20 0x140002a1bc0 0x140002a1c60 0x140002a1ce0 0x140002a1d60],3,,&{[passive_perception] map[passive_perception:13]},Medium,[0x140002a1e00 0x140002a1e40 0x140002a1ea0],&{[walk] map[walk:30 ft.]},11,any race,humanoid,/api/monsters/assassin,11,3900
[0x140002be580],unaligned,[0x140002be480],0,6,[],11,[],[piercing],[fire],An awakened shrub is an ordinary shrub given sentience and mobility by the awaken spell or similar magic.,8,,3d6,10,3d6,/api/images/monsters/awakened-shrub.png,awakened-shrub,10,one language known by its creator,,Awakened Shrub,[],2,,&{[passive_perception] map[passive_perception:10]},Small,[0x140002be520],&{[walk] map[walk:20 ft.]},3,,plant,/api/monsters/awakened-shrub,10,10
[0x140002be7a0],unaligned,[0x140002be6a0],2,7,[],15,[],[bludgeoning piercing],[fire],An awakened tree is an ordinary tree given sentience and mobility by the awaken spell or similar magic.,6,,7d12,59,7d12+14,/api/images/monsters/awakened-tree.png,awakened-tree,10,one language known by its creator,,Awakened Tree,[],2,,&{[passive_perception] map[passive_perception:10]},Huge,[0x140002be760],&{[walk] map[walk:20 ft.]},19,,plant,/api/monsters/awakened-tree,10,450
[0x140002be940],unaligned,[0x140002be8c0],0.250000,5,[],12,[],[],[],"An axe beak is a tall flightless bird with strong legs and a heavy, wedge-shaped beak. It has a nasty disposition and tends to attack any unfamiliar creature that wanders too close.",12,,3d10,19,3d10+3,/api/images/monsters/axe-beak.png,axe-beak,2,,,Axe Beak,[],2,,&{[passive_perception] map[passive_perception:10]},Large,,&{[walk] map[walk:50 ft.]},14,,beast,/api/monsters/axe-beak,10,50
[0x140002beec0],lawful neutral,[0x140002bea40 0x140002beaa0],2,10,[0x140002bec20],15,[fire poison],[],[],,12,,6d8,39,6d8+12,,azer,12,Ignan,,Azer,[0x140002beb60],2,,&{[passive_perception] map[passive_perception:11]},Medium,[0x140002beca0 0x140002bed80 0x140002bee80],&{[walk] map[walk:30 ft.]},17,,elemental,/api/monsters/azer,13,450
[0x140002bf1a0],unaligned,[0x140002bf0a0],0,6,[],11,[],[],[],,14,,1d6,3,1d6,/api/images/monsters/baboon.png,baboon,4,,,Baboon,[],2,,&{[passive_perception] map[passive_perception:11]},Small,[0x140002bf160],&{[walk climb] map[climb:30 ft. walk:30 ft.]},8,,beast,/api/monsters/baboon,12,10
[0x140002f0120],unaligned,[0x140002f0020],0,5,[],12,[],[],[],,11,,1d4,3,1d4+1,/api/images/monsters/badger.png,badger,2,,,Badger,[],2,,&{[darkvision passive_perception] map[darkvision:30 ft. passive_perception:11]},Tiny,[0x140002f00e0],&{[walk burrow] map[burrow:5 ft. walk:20 ft.]},4,,beast,/api/monsters/badger,12,10
[0x140002f08c0 0x140002f09c0 0x140002f0b80 0x140002f0d20],chaotic evil,[0x140002f0240],19,22,[0x140002f0560],22,[fire poison],"[cold lightning bludgeoning, piercing, and slashing from nonmagical weapons]",[],,15,,21d12,262,21d12+126,/api/images/monsters/balor.png,balor,20,"Abyssal, telepathy 120 ft.",,Balor,[0x140002f02c0 0x140002f0340 0x140002f0400 0x140002f0480],6,,&{[truesight passive_perception] map[passive_perception:13 truesight:120 ft.]},Huge,[0x140002f05e0 0x140002f0740 0x140002f0820 0x140002f0860],&{[walk fly] map[fly:80 ft. walk:40 ft.]},26,demon,fiend,/api/monsters/balor,16,22000
[0x140002f0ea0 0x140002f0f80],any non-lawful alignment,[0x140002f0da0],0.125000,10,[],12,[],[],[],"**Bandits** rove in gangs and are sometimes led by thugs, veterans, or spellcasters. Not all bandits are evil. Oppression, drought, disease, or famine can often drive otherwise honest folk to a life of banditry.

**Pirates** are bandits of the high seas. They might be freebooters interested only in treasure and murder, or they might be privateers sanctioned by the crown to attack and plunder an enemy nation’s vessels.",12,,2d8,11,2d8+2,/api/images/monsters/bandit.png,bandit,10,any one language (usually Common),,Bandit,[],2,,&{[passive_perception] map[passive_perception:10]},Medium,,&{[walk] map[walk:30 ft.]},11,any race,humanoid,/api/monsters/bandit,10,25
[0x140002f14a0 0x140002f16a0 0x140002f1780],any non-lawful alignment,[0x140002f10e0],2,14,[],14,[],[],[],"It takes a strong personality, ruthless cunning, and a silver tongue to keep a gang of bandits in line. The **bandit captain** has these qualities in spades.

In addition to managing a crew of selfish malcontents, the **pirate captain** is a variation of the bandit captain, with a ship to protect and command. To keep the crew in line, the captain must mete out rewards and punishment on a regular basis.

More than treasure, a bandit captain or pirate captain craves infamy. A prisoner who appeals to the captain’s vanity or ego is more likely to be treated fairly than a prisoner who does not or claims not to know anything of the captain’s colorful reputation.",16,,10d8,65,10d8+20,/api/images/monsters/bandit-captain.png,bandit-captain,14,any two languages,,Bandit Captain,[0x140002f1180 0x140002f1220 0x140002f12e0 0x140002f1360 0x140002f1400],2,[0x140002f1860],&{[passive_perception] map[passive_perception:10]},Medium,,&{[walk] map[walk:30 ft.]},15,any race,humanoid,/api/monsters/bandit-captain,11,450
[0x140002be000 0x140002be680 0x140002beac0 0x140002beda0],lawful evil,[0x140002f18e0],5,14,[0x140002f1d60],18,[fire poison],"[cold bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered]",[],,17,,13d8,110,13d8+52,/api/images/monsters/barbed-devil.png,barbed-devil,12,"Infernal, telepathy 120 ft.",,Barbed Devil,[0x140002f1940 0x140002f19c0 0x140002f1a80 0x140002f1b00 0x140002f1b80 0x140002f1c00 0x140002f1c80],3,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:18]},Medium,[0x140002f1e00 0x140002f1ec0 0x140002f1f20],&{[walk] map[walk:30 ft.]},16,devil,fiend,/api/monsters/barbed-devil,14,1800
[0x140002bf440],unaligned,[0x140002bf240],3,7,[],15,[],[],[],,8,,8d8,52,8d8+16,,basilisk,2,,,Basilisk,[],2,,&{[darkvision passive_perception] map[darkvision:60 ft. passive_perception:9]},Medium,[0x140002bf360],&{[walk] map[walk:20 ft.]},16,,monstrosity,/api/monsters/basilisk,8,700
[0x140002bf760],unaligned,[0x140002bf600],0,4,[],8,[],[],[],,15,,1d4,1,1d4-1,,bat,2,,,Bat,[],2,,&{[blindsight passive_perception] map[blindsight:60 ft. passive_perception:11]},Tiny,[0x140002bf6c0 0x140002bf700],&{[walk fly] map[fly:30 ft. walk:5 ft.]},2,,beast,/api/monsters/bat,12,10
[0x140002bfc40 0x140002bfd40 0x140002bfe40],lawful evil,[0x140002bf880],3,11,[0x140002bfac0],15,[fire poison],"[cold bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered]",[],,15,,8d8,52,8d8+16,,bearded-devil,9,"Infernal, telepathy 120 ft.",,Bearded Devil,[0x140002bf8e0 0x140002bf960 0x140002bfa00],2,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:10]},Medium,[0x140002bfb40 0x140002bfb80 0x140002bfc00],&{[walk] map[walk:30 ft.]},16,devil,fiend,/api/monsters/bearded-devil,11,700
